Problem,Method,Level,DOF,Cells,L2,H1semi,Energy,Estimator,Cycle_s,Cumulative_s
Smooth Poisson,AFEM-direct,0,81,128,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0025581740000006903,0.0025581740000006903
Smooth Poisson,AFEM-direct,1,160,284,0.013015937752957021,0.3262808861815882,0.3262808861815882,1.53410860821785,0.0037385250000170345,0.007210705000034068
Smooth Poisson,AFEM-direct,2,265,474,0.005139513036739859,0.21031796634114489,0.21031796634114489,1.203655158168798,0.0058026560000143945,0.014365707000024486
Smooth Poisson,AFEM-direct,3,506,954,0.0038301393881286505,0.17958059486847713,0.17958059486847713,0.8865792989885213,0.011031321000018579,0.02782072299999072
Smooth Poisson,AFEM-direct,4,788,1490,0.0017701111541966285,0.11906536140156494,0.11906536140156494,0.6720526795715739,0.01711768799998481,0.049139411999931326
Smooth Poisson,AFEM-direct,5,1567,3030,0.0011032537768492206,0.09712698597872389,0.09712698597872389,0.5041857723917478,0.03498182300006647,0.0916273469999851
Smooth Poisson,AFEM-direct,6,2620,5100,0.0005583699936060341,0.06549126401371183,0.06549126401371183,0.3688499282854145,0.060894735999909244,0.16595866099987688
Smooth Poisson,AFEM-direct,7,4776,9378,0.00030351825181975956,0.051004948824920696,0.051004948824920696,0.2808033132006901,0.11859442299999046,0.30924687899994296
L-shaped singularity,AFEM-direct,0,65,96,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.0019519450000871075,0.0019519450000871075
L-shaped singularity,AFEM-direct,1,78,122,0.009284515166701264,0.13484776149626257,0.13484776149626257,0.42554162518363725,0.001889793000032114,0.0043506530000740895
L-shaped singularity,AFEM-direct,2,104,170,0.00491323170954982,0.10341028590464102,0.10341028590464102,0.33845755825340157,0.0025448439999991024,0.007512072000054104
L-shaped singularity,AFEM-direct,3,190,338,0.002412809564934435,0.07508003691470068,0.07508003691470068,0.25434231161851734,0.006422855999971944,0.014968870999950923
L-shaped singularity,AFEM-direct,4,328,602,0.0012854598492521468,0.05479170473630452,0.05479170473630452,0.18928000710040205,0.010211987000047884,0.02693688299996211
L-shaped singularity,AFEM-direct,5,598,1120,0.0007078834202590637,0.04000992835929659,0.04000992835929659,0.14138225846590907,0.01306234300000142,0.04311278399995899
L-shaped singularity,AFEM-direct,6,1092,2088,0.0003968942780563069,0.02928580970541911,0.02928580970541911,0.10521979885988998,0.024845729999924515,0.07387462799988498
L-shaped singularity,AFEM-direct,7,1968,3806,0.00019245961081612177,0.021443524265943488,0.021443524265943488,0.07844170996130348,0.10547673799999302,0.19109191899985944
High-contrast interface (1e4),AFEM-direct,0,81,128,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0023498949999520846,0.0023498949999520846
High-contrast interface (1e4),AFEM-direct,1,128,222,0.00053506645717057,0.015954783672709166,0.01596775503604678,0.08629654200888416,0.003273895999996057,0.006327364999947349
High-contrast interface (1e4),AFEM-direct,2,210,376,0.00022724523199112734,0.010865425604114558,0.01088299902282544,0.0635242848077463,0.00479283899994698,0.012254215999860207
High-contrast interface (1e4),AFEM-direct,3,365,684,0.0001313930508409871,0.008054194628607457,0.008077787513642432,0.04526034864448855,0.008266370000001189,0.022370999999907326
High-contrast interface (1e4),AFEM-direct,4,651,1234,6.319203639778741e-05,0.005707497638765006,0.005740449922439949,0.03309033697273058,0.014569248000043444,0.04036960500002351
High-contrast interface (1e4),AFEM-direct,5,1151,2226,3.923964401791208e-05,0.004398861474518514,0.004441253097609842,0.02484773369848507,0.026893276999999216,0.07330371200009722
High-contrast interface (1e4),AFEM-direct,6,2007,3915,1.872118914841139e-05,0.0030622558645654416,0.0031228084971512827,0.01824009375241443,0.047091913999906865,0.13157649799995852
High-contrast interface (1e4),AFEM-direct,7,3856,7576,1.110731978351146e-05,0.002333264547918428,0.002355555607061122,0.013514940096262884,0.13952040799995302,0.29177455399985774
Localized reaction-diffusion layer,AFEM-direct,0,81,128,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0023616429999719912,0.0023616429999719912
Localized reaction-diffusion layer,AFEM-direct,1,86,138,0.0013577500776513183,0.04478856330653837,0.04480913844671818,0.23224648305438775,0.002136999999947875,0.005053425999903993
Localized reaction-diffusion layer,AFEM-direct,2,111,188,0.0006040717260963782,0.02844532679645401,0.028451740178894746,0.14381148075242664,0.0027230879999251556,0.008430493999867394
Localized reaction-diffusion layer,AFEM-direct,3,177,320,0.00025829877027644626,0.018795674470925235,0.018797449217160207,0.09557213492693303,0.004123606000007385,0.0134810249999191
Localized reaction-diffusion layer,AFEM-direct,4,301,568,0.00010622197477283517,0.012325789975350884,0.012326247670089425,0.06618875941780161,0.006953512999984923,0.022130733999802032
Localized reaction-diffusion layer,AFEM-direct,5,476,918,7.057225921725025e-05,0.00961534666863433,0.009615605649244791,0.0482421069903017,0.011702756999966368,0.03640116899975965
Localized reaction-diffusion layer,AFEM-direct,6,879,1724,3.593542544943571e-05,0.006623592259122267,0.006623689739858492,0.03504731850217183,0.08085238599994682,0.1219250829997236
Localized reaction-diffusion layer,AFEM-direct,7,1531,3027,2.0726640292530565e-05,0.005122743248533246,0.0051227851783976625,0.02577693724676573,0.03820266000002448,0.168799954999713
