Problem,Method,Level,DOF,Cells,L2,H1semi,Energy,Estimator,Cycle_s,Cumulative_s,EstimatorType
Interface-unweighted,AFEM-direct,0,81,128,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.3414857105117034,0.0023186890000488347,0.0023186890000488347,Unweighted residual
Interface-unweighted,AFEM-direct,1,151,264,0.000965431912091252,0.022499884063120052,0.022503332756728795,0.22813383979118593,0.003776360999950157,0.006950649000032172,Unweighted residual
Interface-unweighted,AFEM-direct,2,283,512,0.0004533908543221411,0.014874539702000226,0.01487761832511845,0.172891498840553,0.006625116000009257,0.015001530000063212,Unweighted residual
Interface-unweighted,AFEM-direct,3,493,917,0.0002976035479283351,0.012298651074321343,0.012300442230812522,0.125483233181705,0.01134002900005271,0.029068414000107623,Unweighted residual
Interface-unweighted,AFEM-direct,4,916,1742,0.00012130752958851869,0.007765040831331485,0.007766800462974651,0.09373322541860156,0.021202106000032472,0.05512464000014461,Unweighted residual
Interface-unweighted,AFEM-direct,5,1644,3167,9.011625665289771e-05,0.006688637767013761,0.00668956006583313,0.06854858400951316,0.038305463000028794,0.10205479400019613,Unweighted residual
Interface-unweighted,AFEM-direct,6,2897,5630,4.398073726771444e-05,0.004696749735466856,0.00469751758180318,0.05167436549571048,0.06902063799998359,0.18829417000017656,Unweighted residual
Interface-unweighted,AFEM-direct,7,5361,10508,2.5912006819344716e-05,0.0035452499162778655,0.0035458092021131366,0.038250463292018776,0.18082507899998745,0.39656293200016535,Unweighted residual
High-contrast interface (1e4),AFEM-direct,0,81,128,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.002279230999988613,0.002279230999988613,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,1,128,222,0.00053506645717057,0.015954783672709166,0.01596775503604678,0.08629654200888416,0.003403047000006154,0.006427753999901142,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,2,210,376,0.00022724523199112734,0.010865425604114558,0.01088299902282544,0.0635242848077463,0.005035638999970615,0.012616642999887517,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,3,365,684,0.0001313930508409871,0.008054194628607457,0.008077787513642432,0.04526034864448855,0.008903696000061245,0.023418033999973886,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,4,651,1234,6.319203639778741e-05,0.005707497638765006,0.005740449922439949,0.03309033697273058,0.015839462000030835,0.04350871100007225,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,5,1151,2226,3.923964401791208e-05,0.004398861474518514,0.004441253097609842,0.02484773369848507,0.035446442000079514,0.08511401800012663,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,6,2007,3915,1.872118914841139e-05,0.0030622558645654416,0.0031228084971512827,0.01824009375241443,0.04860382600008961,0.14427022500024123,Coefficient-weighted residual
High-contrast interface (1e4),AFEM-direct,7,3856,7576,1.110731978351146e-05,0.002333264547918428,0.002355555607061122,0.013514940096262884,0.09605984099994203,0.26172638000014103,Coefficient-weighted residual
