Problem,Method,Level,DOF,Cells,ActiveDOF,ActiveFraction,Halo,TouchedCells,LocalNNZ,L2,H1semi,Energy,Estimator,ResidualReduction,Cycle_s,Cumulative_s
Smooth Poisson,HLRC-r0,0,81,128,49,1.0,0,128,289,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0,0.002154666000024008,0.002154666000024008
Smooth Poisson,HLRC-r0,1,160,284,77,0.6111111111111112,0,226,309,0.012781688594427786,0.33811156667032244,0.33811156667032244,1.5590697782598042,0.353564401038451,0.006246303999887459,0.008400969999911467
Smooth Poisson,HLRC-r0,2,252,449,73,0.36683417085427134,0,241,257,0.010910209820639965,0.2244227702269227,0.2244227702269227,1.2136825668482298,0.25329014365561664,0.008266971000011836,0.016667940999923303
Smooth Poisson,HLRC-r0,3,482,909,230,0.5361305361305362,0,654,1012,0.009101017597719295,0.20132996712487836,0.20132996712487836,0.9040141725817206,0.6072668666254124,0.01839770599997337,0.03506564699989667
Smooth Poisson,HLRC-r0,4,792,1498,279,0.3940677966101695,0,827,1183,0.008870105448305831,0.14511382729657854,0.14511382729657854,0.6702067913870144,0.39892032667200006,0.029356060000168327,0.064421707000065
Smooth Poisson,HLRC-r0,5,1632,3163,825,0.538160469667319,0,2349,3609,0.008197139862424811,0.12672594255614655,0.12672594255614655,0.49451697275754086,0.6928566998463648,0.06526408700005959,0.1296857940001246
Smooth Poisson,HLRC-r0,6,2678,5199,990,0.3923900118906064,0,2854,4374,0.0080925621582632,0.10645103080258402,0.10645103080258402,0.3726538324029465,0.573228402096682,0.09609459199987214,0.22578038599999672
Smooth Poisson,HLRC-r0,7,4993,9800,2286,0.47535870243293826,0,6579,9732,0.007951602157271516,0.09603915448909513,0.09603915448909513,0.284048969375731,0.7328405668622867,0.18718788700005007,0.4129682730000468
Smooth Poisson,HLRC-r1,0,81,128,49,1.0,1,128,289,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0,0.002140714000006483,0.002140714000006483
Smooth Poisson,HLRC-r1,1,160,284,123,0.9761904761904762,1,272,799,0.013329585013758442,0.3263599925498119,0.3263599925498119,1.5336162193581857,0.024869735090992127,0.007856132000028992,0.009996846000035475
Smooth Poisson,HLRC-r1,2,265,474,129,0.6113744075829384,1,344,735,0.010811779349480511,0.21253682217241301,0.21253682217241301,1.1976873140474624,0.041539718713957494,0.010652960000129497,0.020649806000164972
Smooth Poisson,HLRC-r1,3,500,942,360,0.8108108108108109,1,788,2390,0.006956100474143377,0.1810136058728632,0.1810136058728632,0.8861411568231872,0.09862743477212037,0.023486253999976725,0.0441360600001417
Smooth Poisson,HLRC-r1,4,810,1534,424,0.5840220385674931,1,984,2692,0.006047335057020594,0.1181028434014781,0.1181028434014781,0.6573563544300843,0.04168987190342608,0.03419970299989927,0.07833576300004097
Smooth Poisson,HLRC-r1,5,1583,3064,1147,0.7734322319622388,1,2462,7667,0.005022244797645011,0.09810782992264246,0.09810782992264246,0.49551877864400284,0.08615177489947176,0.07980319000000691,0.15813895300004788
Smooth Poisson,HLRC-r1,6,2631,5116,1552,0.6240450341777242,1,3480,10078,0.004763857127300598,0.0692100714181764,0.0692100714181764,0.3671909218282837,0.05052220553467004,0.11803308000014567,0.27617203300019355
Smooth Poisson,HLRC-r1,7,4776,9374,3270,0.7108695652173913,1,7129,21702,0.004550591444472736,0.054859225048730025,0.054859225048730025,0.2804139954393311,0.05759448600704841,0.22729107600002862,0.5034631090002222
Smooth Poisson,HLRC-r2,0,81,128,49,1.0,2,128,289,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0,0.0021314210000582534,0.0021314210000582534
Smooth Poisson,HLRC-r2,1,160,284,126,1.0,2,284,820,0.013015937752957783,0.3262808861815882,0.3262808861815882,1.5341086082178481,2.9099089952248456e-15,0.007965022999883331,0.010096443999941584
Smooth Poisson,HLRC-r2,2,265,474,164,0.7772511848341233,2,408,972,0.00968058853691839,0.21166383965073324,0.21166383965073324,1.1989561512416724,0.03033139177106477,0.011517782000055377,0.02161422599999696
Smooth Poisson,HLRC-r2,3,501,946,411,0.9194630872483222,2,868,2759,0.00467268632121726,0.18280046829384392,0.18280046829384392,0.8940466731536741,0.04274734752615601,0.024793723000016143,0.046407949000013105
Smooth Poisson,HLRC-r2,4,793,1500,444,0.6262341325811002,2,1028,2824,0.0038533390323024375,0.11933602779407222,0.11933602779407222,0.6695715954185125,0.016434307434680325,0.03426484000010532,0.08067278900011843
Smooth Poisson,HLRC-r2,5,1565,3026,1249,0.8537252221462748,2,2612,8485,0.0017683914401927,0.0970703342056065,0.0970703342056065,0.5043376742266055,0.02583977540762825,0.0800794000000451,0.16075218900016353
Smooth Poisson,HLRC-r2,6,2613,5086,1818,0.7345454545454545,2,3946,12046,0.001449064625002851,0.06587079591702313,0.06587079591702313,0.37000562277700183,0.017367498935891835,0.18818231100010507,0.3489345000002686
Smooth Poisson,HLRC-r2,7,4726,9278,3700,0.8124725516029864,2,7858,24918,0.001247314830359948,0.05122805855124791,0.05122805855124791,0.2819646317708486,0.016426980836686225,0.24206322400004865,0.5909977240003172
Smooth Poisson,RCHC,0,81,128,49,1.0,-1,128,289,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0,0.0021492779999334743,0.0021492779999334743
Smooth Poisson,RCHC,1,160,284,123,0.9761904761904762,1,272,799,0.013329585013758442,0.3263599925498119,0.3263599925498119,1.5336162193581857,0.024869735090992127,0.010526311000035093,0.012675588999968568
Smooth Poisson,RCHC,2,265,474,85,0.4028436018957346,0,274,313,0.011382097217698195,0.2165311937476618,0.2165311937476618,1.1960457743355057,0.14087201331290966,0.009072555999978249,0.021748144999946817
Smooth Poisson,RCHC,3,505,952,421,0.9376391982182628,2,892,2819,0.004550624253458402,0.17991302803535203,0.17991302803535203,0.8867162541862993,0.07546146446615691,0.04561926899998525,0.06736741399993207
Smooth Poisson,RCHC,4,798,1510,265,0.3711484593837535,0,775,1169,0.004047841261640167,0.1201690885783475,0.1201690885783475,0.670051535408163,0.08680304820251579,0.02798375399993347,0.09535116799986554
Smooth Poisson,RCHC,5,1569,3034,1144,0.7798227675528289,1,2461,7642,0.003456335487602231,0.09820900516571204,0.09820900516571204,0.5017432419759097,0.14684165425262088,0.09852418499986015,0.1938753529997257
Smooth Poisson,RCHC,6,2677,5214,1633,0.6431666010240252,1,3622,10685,0.003151049695216315,0.06652117230788031,0.06652117230788031,0.36495757241719284,0.04903069833780984,0.20022145699999783,0.3940968099997235
Smooth Poisson,RCHC,7,4896,9618,3378,0.7150719729043183,1,7328,22482,0.0029542792688648303,0.052474796928910473,0.052474796928910473,0.2779467887977238,0.0509130262150255,0.30614974400009487,0.7002465539998184
L-shaped singularity,HLRC-r0,0,65,96,33,1.0,0,96,177,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.0,0.0018053279999321603,0.0018053279999321603
L-shaped singularity,HLRC-r0,1,78,122,13,0.2826086956521739,0,40,45,0.015100719331810397,0.14024785486363106,0.14024785486363106,0.4109781334759324,0.25032262168092484,0.0027290579999998954,0.004534385999932056
L-shaped singularity,HLRC-r0,2,112,186,30,0.39473684210526316,0,94,106,0.014243326858148117,0.11630169845568446,0.11630169845568446,0.3256406811697585,0.41557281602876306,0.003959923000138588,0.008494309000070643
L-shaped singularity,HLRC-r0,3,180,320,66,0.4647887323943662,0,196,252,0.013556102568555927,0.09701482391870893,0.09701482391870893,0.2512424989937758,0.38368152726556193,0.006740788000001885,0.015235097000072528
L-shaped singularity,HLRC-r0,4,346,642,156,0.5234899328859061,0,484,556,0.0133786272919729,0.08274319391668294,0.08274319391668294,0.1818653264093248,0.40738515016932947,0.013369258000011541,0.02860435500008407
L-shaped singularity,HLRC-r0,5,643,1220,281,0.4853195164075993,0,847,1081,0.013242972439938057,0.07474623254507964,0.07474623254507964,0.1362562635033673,0.4853477576965379,0.02437903800012009,0.05298339300020416
L-shaped singularity,HLRC-r0,6,1179,2265,509,0.4678308823529412,0,1520,2015,0.013210725321885927,0.07010694936637685,0.07010694936637685,0.10162559824940226,0.5284615553241157,0.04602721499998097,0.09901060800018513
L-shaped singularity,HLRC-r0,7,2179,4235,970,0.4713313896987366,0,2841,3938,0.0131802466024111,0.0672356087690728,0.0672356087690728,0.07601929335144055,0.5604007467489887,0.08310120100009044,0.18211180900027557
