Problem,Level,Tau,Halo,ActiveDOF,InteriorDOF,ActiveFraction,ResidualReduction,Energy,DirectEnergy,EnergyRatio,TouchedCells,LocalNNZ
Smooth Poisson,5,0.05,1,1148,1465,0.783617747440273,0.030438873122188646,0.09718662640741269,0.09712698597872389,1.0006140459120378,2480,7644
Smooth Poisson,5,0.1,1,1148,1465,0.783617747440273,0.030438873122188646,0.09718662640741269,0.09712698597872389,1.0006140459120378,2480,7644
Smooth Poisson,5,0.15,1,1148,1465,0.783617747440273,0.030438873122188646,0.09718662640741269,0.09712698597872389,1.0006140459120378,2480,7644
Smooth Poisson,5,0.25,0,761,1465,0.5194539249146758,0.19871298741048232,0.09848292124808203,0.09712698597872389,1.013960438035781,2150,3433
Smooth Poisson,5,0.4,0,761,1465,0.5194539249146758,0.19871298741048232,0.09848292124808203,0.09712698597872389,1.013960438035781,2150,3433
Smooth Poisson,6,0.05,1,1572,2482,0.6333601933924254,0.022140733874628036,0.06559036252092694,0.06549126401371183,1.001513156124065,3512,10226
Smooth Poisson,6,0.1,1,1572,2482,0.6333601933924254,0.022140733874628036,0.06559036252092694,0.06549126401371183,1.001513156124065,3512,10226
Smooth Poisson,6,0.15,0,1017,2482,0.40975020145044316,0.12959821259371732,0.06660222110115795,0.06549126401371183,1.0169634393865647,2924,4445
Smooth Poisson,6,0.25,0,1017,2482,0.40975020145044316,0.12959821259371732,0.06660222110115795,0.06549126401371183,1.0169634393865647,2924,4445
Smooth Poisson,6,0.4,0,1017,2482,0.40975020145044316,0.12959821259371732,0.06660222110115795,0.06549126401371183,1.0169634393865647,2924,4445
Smooth Poisson,7,0.05,1,3316,4604,0.7202432667245873,0.03236664120153466,0.05106308069757993,0.051004948824920696,1.00113973004578,7215,22034
Smooth Poisson,7,0.1,1,3316,4604,0.7202432667245873,0.03236664120153466,0.05106308069757993,0.051004948824920696,1.00113973004578,7215,22034
Smooth Poisson,7,0.15,1,3316,4604,0.7202432667245873,0.03236664120153466,0.05106308069757993,0.051004948824920696,1.00113973004578,7215,22034
Smooth Poisson,7,0.25,0,2122,4604,0.46090356211989575,0.15959971037859466,0.05177626011394159,0.051004948824920696,1.0151222833625124,6050,9372
Smooth Poisson,7,0.4,0,2122,4604,0.46090356211989575,0.15959971037859466,0.05177626011394159,0.051004948824920696,1.0151222833625124,6050,9372
L-shaped singularity,5,0.05,1,432,524,0.8244274809160306,0.043949428940336474,0.04008712255390801,0.04000992835929659,1.0019293759768375,1034,2690
L-shaped singularity,5,0.1,1,432,524,0.8244274809160306,0.043949428940336474,0.04008712255390801,0.04000992835929659,1.0019293759768375,1034,2690
L-shaped singularity,5,0.15,1,432,524,0.8244274809160306,0.043949428940336474,0.04008712255390801,0.04000992835929659,1.0019293759768375,1034,2690
L-shaped singularity,5,0.25,0,248,524,0.4732824427480916,0.193222519077347,0.041086755734723965,0.04000992835929659,1.0269140040881168,759,940
L-shaped singularity,5,0.4,0,248,524,0.4732824427480916,0.193222519077347,0.041086755734723965,0.04000992835929659,1.0269140040881168,759,940
L-shaped singularity,6,0.05,1,794,998,0.7955911823647295,0.03425172503499854,0.029349419081840206,0.02928580970541911,1.0021720204105993,1823,5082
L-shaped singularity,6,0.1,1,794,998,0.7955911823647295,0.03425172503499854,0.029349419081840206,0.02928580970541911,1.0021720204105993,1823,5082
L-shaped singularity,6,0.15,1,794,998,0.7955911823647295,0.03425172503499854,0.029349419081840206,0.02928580970541911,1.0021720204105993,1823,5082
L-shaped singularity,6,0.25,0,474,998,0.4749498997995992,0.17800675479435565,0.029979344359605548,0.02928580970541911,1.0236815939583908,1408,1914
L-shaped singularity,6,0.4,0,474,998,0.4749498997995992,0.17800675479435565,0.029979344359605548,0.02928580970541911,1.0236815939583908,1408,1914
L-shaped singularity,7,0.05,1,1402,1840,0.7619565217391304,0.0367755999275992,0.02149106695636895,0.021443524265943488,1.0022171117879615,3235,8948
L-shaped singularity,7,0.1,1,1402,1840,0.7619565217391304,0.0367755999275992,0.02149106695636895,0.021443524265943488,1.0022171117879615,3235,8948
L-shaped singularity,7,0.15,1,1402,1840,0.7619565217391304,0.0367755999275992,0.02149106695636895,0.021443524265943488,1.0022171117879615,3235,8948
L-shaped singularity,7,0.25,0,842,1840,0.45760869565217394,0.17653207075315946,0.021929049366245096,0.021443524265943488,1.0226420384205555,2488,3430
L-shaped singularity,7,0.4,0,842,1840,0.45760869565217394,0.17653207075315946,0.021929049366245096,0.021443524265943488,1.0226420384205555,2488,3430
High-contrast interface (1e4),5,0.05,1,764,1077,0.7093779015784587,0.040640081078015214,0.0044471095002451356,0.004441253097609842,1.0013186374445637,1692,5046
High-contrast interface (1e4),5,0.1,1,764,1077,0.7093779015784587,0.040640081078015214,0.0044471095002451356,0.004441253097609842,1.0013186374445637,1692,5046
High-contrast interface (1e4),5,0.15,1,764,1077,0.7093779015784587,0.040640081078015214,0.0044471095002451356,0.004441253097609842,1.0013186374445637,1692,5046
High-contrast interface (1e4),5,0.25,0,492,1077,0.4568245125348189,0.18737442705214521,0.004511339603647887,0.004441253097609842,1.0157807953065687,1392,2196
High-contrast interface (1e4),5,0.4,0,492,1077,0.4568245125348189,0.18737442705214521,0.004511339603647887,0.004441253097609842,1.0157807953065687,1392,2196
High-contrast interface (1e4),6,0.05,1,1321,1910,0.6916230366492147,0.024516098939618553,0.0031254394246219997,0.0031228084971512827,1.0008424876111093,2897,8707
High-contrast interface (1e4),6,0.1,1,1321,1910,0.6916230366492147,0.024516098939618553,0.0031254394246219997,0.0031228084971512827,1.0008424876111093,2897,8707
High-contrast interface (1e4),6,0.15,0,833,1910,0.4361256544502618,0.14903293826549274,0.003179864771889727,0.0031228084971512827,1.0182708208942344,2412,3521
High-contrast interface (1e4),6,0.25,0,833,1910,0.4361256544502618,0.14903293826549274,0.003179864771889727,0.0031228084971512827,1.0182708208942344,2412,3521
High-contrast interface (1e4),6,0.4,0,833,1910,0.4361256544502618,0.14903293826549274,0.003179864771889727,0.0031228084971512827,1.0182708208942344,2412,3521
High-contrast interface (1e4),7,0.05,1,2808,3722,0.754433100483611,0.037608519353554304,0.002359288647274462,0.002355555607061122,1.0015847811879923,6169,18602
High-contrast interface (1e4),7,0.1,1,2808,3722,0.754433100483611,0.037608519353554304,0.002359288647274462,0.002355555607061122,1.0015847811879923,6169,18602
High-contrast interface (1e4),7,0.15,1,2808,3722,0.754433100483611,0.037608519353554304,0.002359288647274462,0.002355555607061122,1.0015847811879923,6169,18602
High-contrast interface (1e4),7,0.25,0,1812,3722,0.48683503492745833,0.17928910614747406,0.0023979330064312736,0.002355555607061122,1.0179904049996185,5176,7914
High-contrast interface (1e4),7,0.4,0,1812,3722,0.48683503492745833,0.17928910614747406,0.0023979330064312736,0.002355555607061122,1.0179904049996185,5176,7914
Localized reaction-diffusion layer,5,0.05,1,305,444,0.6869369369369369,0.03802399747928645,0.009626240866459348,0.009615605649244791,1.001106037165261,686,1977
Localized reaction-diffusion layer,5,0.1,1,305,444,0.6869369369369369,0.03802399747928645,0.009626240866459348,0.009615605649244791,1.001106037165261,686,1977
Localized reaction-diffusion layer,5,0.15,1,305,444,0.6869369369369369,0.03802399747928645,0.009626240866459348,0.009615605649244791,1.001106037165261,686,1977
Localized reaction-diffusion layer,5,0.25,0,175,444,0.39414414414414417,0.24478894240161372,0.009842363194813367,0.009615605649244791,1.023582242641823,512,721
Localized reaction-diffusion layer,5,0.4,0,175,444,0.39414414414414417,0.24478894240161372,0.009842363194813367,0.009615605649244791,1.023582242641823,512,721
Localized reaction-diffusion layer,6,0.05,1,671,847,0.7922077922077922,0.034555246975595894,0.006646707133756363,0.006623689739858492,1.0034750108779042,1466,4441
Localized reaction-diffusion layer,6,0.1,1,671,847,0.7922077922077922,0.034555246975595894,0.006646707133756363,0.006623689739858492,1.0034750108779042,1466,4441
Localized reaction-diffusion layer,6,0.15,1,671,847,0.7922077922077922,0.034555246975595894,0.006646707133756363,0.006623689739858492,1.0034750108779042,1466,4441
Localized reaction-diffusion layer,6,0.25,0,403,847,0.4757969303423849,0.15513620515248214,0.0067704101695014365,0.006623689739858492,1.0221508608351695,1164,1683
Localized reaction-diffusion layer,6,0.4,0,403,847,0.4757969303423849,0.15513620515248214,0.0067704101695014365,0.006623689739858492,1.0221508608351695,1164,1683
Localized reaction-diffusion layer,7,0.05,1,1072,1498,0.7156208277703605,0.04170143085898711,0.005132219115703913,0.0051227851783976625,1.0018415641057978,2373,7060
Localized reaction-diffusion layer,7,0.1,1,1072,1498,0.7156208277703605,0.04170143085898711,0.005132219115703913,0.0051227851783976625,1.0018415641057978,2373,7060
Localized reaction-diffusion layer,7,0.15,1,1072,1498,0.7156208277703605,0.04170143085898711,0.005132219115703913,0.0051227851783976625,1.0018415641057978,2373,7060
Localized reaction-diffusion layer,7,0.25,0,651,1498,0.43457943925233644,0.19716229373360103,0.005222012865071368,0.0051227851783976625,1.0193698707281615,1878,2767
Localized reaction-diffusion layer,7,0.4,0,651,1498,0.43457943925233644,0.19716229373360103,0.005222012865071368,0.0051227851783976625,1.0193698707281615,1878,2767
