Problem,Level,Method,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Repeats,Median_s,Q25_s,Q75_s,Mean_s,SD_s
Smooth Poisson,7,Direct assembly+solve,4776,4604,4604,1.0,9378,31798,25,0.030703106000146363,0.029424964000099862,0.03320900700055063,0.03799060996003391,0.017122919609045818
Smooth Poisson,7,HLRC-r0 local assembly+solve,4776,4604,2122,0.46090356211989575,6050,9372,25,0.05214546800016251,0.051407334999566956,0.05330776900063938,0.05319019328009745,0.003973121649329515
Smooth Poisson,7,HLRC-r1 local assembly+solve,4776,4604,3316,0.7202432667245873,7215,22034,25,0.09055679900029645,0.08967657599987433,0.09170313699996768,0.09083032635990093,0.002219066269469987
Smooth Poisson,7,HLRC-r2 local assembly+solve,4776,4604,3775,0.8199391833188532,7997,25463,25,0.10754793399974005,0.10488566799995169,0.11288215900003706,0.10922351376004372,0.006152331889225511
L-shaped singularity,7,Direct assembly+solve,1968,1840,1840,1.0,3806,12538,25,0.01110671700007515,0.010835394999958226,0.011497636000058264,0.013500092400026914,0.011502439113114863
L-shaped singularity,7,HLRC-r0 local assembly+solve,1968,1840,842,0.45760869565217394,2488,3430,25,0.019578843000090274,0.01934144099959667,0.020567526999911934,0.020576945680149946,0.0023842296462236907
L-shaped singularity,7,HLRC-r1 local assembly+solve,1968,1840,1402,0.7619565217391304,3235,8948,25,0.03745426299974497,0.03695018700000219,0.03864426600011939,0.038357175159981126,0.0020159979202328733
L-shaped singularity,7,HLRC-r2 local assembly+solve,1968,1840,1704,0.9260869565217391,3682,11308,25,0.04664294099984545,0.04617037000025448,0.04718399099965609,0.047964863600027455,0.006486263861920836
High-contrast interface (1e4),7,Direct assembly+solve,3856,3722,3722,1.0,7576,25734,25,0.025909717000104138,0.025176312000439793,0.026719646999481483,0.029805853640064016,0.013057417573726698
High-contrast interface (1e4),7,HLRC-r0 local assembly+solve,3856,3722,1812,0.48683503492745833,5176,7914,25,0.04453172400008043,0.0439200279997749,0.045389754999632714,0.044845301199929966,0.0012638584539883494
High-contrast interface (1e4),7,HLRC-r1 local assembly+solve,3856,3722,2808,0.754433100483611,6169,18602,25,0.07697092099988367,0.07619405000059487,0.07800412000051438,0.07720939848008129,0.0014342194194123489
High-contrast interface (1e4),7,HLRC-r2 local assembly+solve,3856,3722,3227,0.8670069854916711,6883,21707,25,0.09145668099972681,0.0898188860001028,0.09294142999988253,0.09147102864008047,0.0024731589936720457
Localized reaction-diffusion layer,7,Direct assembly+solve,1531,1498,1498,1.0,3027,10416,25,0.009675909000179672,0.009445477000554092,0.009837226999479753,0.011984288679996099,0.01134247436292159
Localized reaction-diffusion layer,7,HLRC-r0 local assembly+solve,1531,1498,651,0.43457943925233644,1878,2767,25,0.01579296699947008,0.01545520600029704,0.01654958700055431,0.01611294332000398,0.0008967770711781703
Localized reaction-diffusion layer,7,HLRC-r1 local assembly+solve,1531,1498,1072,0.7156208277703605,2373,7060,25,0.02828207000038674,0.0279957970005853,0.02856103400063148,0.028360893160024717,0.00045651127573112917
Localized reaction-diffusion layer,7,HLRC-r2 local assembly+solve,1531,1498,1275,0.8511348464619493,2704,8609,25,0.033716478000314964,0.03348654799992801,0.03433640599996579,0.034177710079966346,0.0011758520956977093
