Problem,Method,n,DOF,Cells,L2,H1semi,Energy,Estimator,Assembly_s,Solve_s
Smooth Poisson,Uniform,8,81,128,0.019097605603522246,0.40807818338205515,0.40807818338205515,2.229809713677248,0.0007449649999671237,0.0016770570000517182
Smooth Poisson,Uniform,12,169,288,0.0085494004670015,0.2732182083304007,0.2732182083304007,1.494823940902548,0.0007336679999525586,0.001351144000068416
Smooth Poisson,Uniform,16,289,512,0.004821230002835869,0.20522088568088592,0.20522088568088592,1.1233320766875772,0.0008318229999986215,0.0018839750000552158
Smooth Poisson,Uniform,24,625,1152,0.002146649220214937,0.13696046331893513,0.13696046331893513,0.7499508707219895,0.00214984900003401,0.004147590999991735
Smooth Poisson,Uniform,32,1089,2048,0.0012082552077552387,0.1027588495411206,0.1027588495411206,0.5627434017052898,0.0031055860000606117,0.010176673000046321
Smooth Poisson,Uniform,48,2401,4608,0.0005372453309562846,0.06852424150390192,0.06852424150390192,0.37529598675951686,0.009223139000027913,0.016324472000064816
Smooth Poisson,Uniform,64,4225,8192,0.00030224835940246734,0.051397996960466596,0.051397996960466596,0.28150713080553097,0.009893454000007296,0.030817326000033063
L-shaped singularity,Uniform,4,65,96,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.000353785000015705,0.0005157349999080907
L-shaped singularity,Uniform,6,133,216,0.011165992005595681,0.14276900485859892,0.14276900485859892,0.41173423560230876,0.000327685999991445,0.0005950930000153676
L-shaped singularity,Uniform,8,225,384,0.007582920600219012,0.11881163808834717,0.11881163808834717,0.34383414544005025,0.0004317809999747624,0.0008888680000609384
L-shaped singularity,Uniform,12,481,864,0.004396802531353984,0.09151610975284784,0.09151610975284784,0.2658626006246923,0.0006799080000519098,0.002450134000014259
L-shaped singularity,Uniform,16,833,1536,0.0029879225788632165,0.07594663896388568,0.07594663896388568,0.22110547359868776,0.0010784689999354669,0.0032615779999787264
L-shaped singularity,Uniform,24,1825,3456,0.0017344963871285175,0.05830713530464314,0.05830713530464314,0.17015754668532002,0.002187033999916821,0.007361248000052001
L-shaped singularity,Uniform,32,3201,6144,0.0011796738625960625,0.048295481292952074,0.048295481292952074,0.14112974056016048,0.003678154999988692,0.01386099799992735
High-contrast interface (1e4),Uniform,8,81,128,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0003896480000094016,0.000563646000045992
High-contrast interface (1e4),Uniform,12,169,288,0.0004447320282327761,0.015361805774306401,0.015367985620649293,0.08718245352682338,0.00039195100009692396,0.0007693409999092182
High-contrast interface (1e4),Uniform,16,289,512,0.00025040933964751714,0.011531951797084966,0.01153659479916246,0.0657917601457356,0.0005222540000886511,0.0012430639999365667
High-contrast interface (1e4),Uniform,24,625,1152,0.00011129350519827688,0.007689695457727389,0.007692795675367244,0.044099131892285495,0.0009196239999482714,0.0024268790000405716
High-contrast interface (1e4),Uniform,32,1089,2048,6.258050201232018e-05,0.005766417779946049,0.0057687446237235885,0.03315412209552614,0.001965304999998807,0.004591630000049918
High-contrast interface (1e4),Uniform,48,2401,4608,2.7797395699790756e-05,0.0038430430851811416,0.003844595367128704,0.022151580088045686,0.0030428029999711725,0.010595314000056533
High-contrast interface (1e4),Uniform,64,4225,8192,1.563018748423611e-05,0.0028816320657703916,0.0028827966528701923,0.01663075091357587,0.0050888370000166105,0.02150312200001281
Localized reaction-diffusion layer,Uniform,8,81,128,0.0026384577397953603,0.06120865148715092,0.0612654917234832,0.3110934215764373,0.0004372089999833406,0.0005588290000559937
Localized reaction-diffusion layer,Uniform,12,169,288,0.0011737700780817186,0.04257507483101833,0.042591251837237776,0.23948390915970594,0.0004012949999605553,0.0007211700000198107
Localized reaction-diffusion layer,Uniform,16,289,512,0.000666029471211413,0.03213721410110092,0.03214411494249798,0.18637708593724736,0.0005866200000355093,0.001155993999987004
Localized reaction-diffusion layer,Uniform,24,625,1152,0.00031366443427512824,0.022160165072461078,0.022162384831422206,0.12804291055606373,0.0009172300000273026,0.002258911000012631
Localized reaction-diffusion layer,Uniform,32,1089,2048,0.00017875659860918183,0.01674931700969702,0.016750270869835875,0.09724462498098073,0.0015063739999732206,0.004360678000011831
Localized reaction-diffusion layer,Uniform,48,2401,4608,8.026017353518826e-05,0.011234927597855519,0.011235214275861029,0.06545039816167894,0.0032943060000434343,0.01129685499995503
Localized reaction-diffusion layer,Uniform,64,4225,8192,4.530769683111329e-05,0.008444451171725743,0.00844457271737608,0.04925814749256036,0.005163819000017611,0.021060691000002407
